epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,4234.31,0.84451,0.40267,0.84594,0.95776,0.93812,0.96486,0.68468,1.00769,0.43139,0.88453,0.000198202,0.000198202,0.000198202
89,4282.05,0.84114,0.40216,0.85299,0.95596,0.93625,0.96488,0.6897,1.00972,0.43426,0.88793,0.000184055,0.000184055,0.000184055
90,4329.19,0.83807,0.40123,0.84487,0.95898,0.93514,0.96586,0.69064,1.02,0.43437,0.88749,0.000169908,0.000169908,0.000169908
91,4378.67,0.83825,0.39418,0.86092,0.95624,0.94488,0.96701,0.68853,1.01228,0.43034,0.88579,0.000155761,0.000155761,0.000155761
92,4428.42,0.82785,0.3924,0.84966,0.95035,0.94364,0.96639,0.68821,1.00569,0.42892,0.88426,0.000141614,0.000141614,0.000141614
93,4475.43,0.81355,0.38344,0.84567,0.95804,0.94337,0.96764,0.68898,1.00827,0.43273,0.88729,0.000127467,0.000127467,0.000127467
94,4523.48,0.81581,0.37956,0.85723,0.95613,0.9407,0.96524,0.69065,0.99505,0.42569,0.88303,0.00011332,0.00011332,0.00011332
95,4571.97,0.80566,0.37847,0.84243,0.95553,0.9421,0.9679,0.68828,1.00697,0.42481,0.88531,9.91726e-05,9.91726e-05,9.91726e-05
96,4621.16,0.79174,0.37288,0.84554,0.95536,0.94239,0.96653,0.68763,1.00786,0.4292,0.88659,8.50255e-05,8.50255e-05,8.50255e-05
97,4669.67,0.79481,0.37021,0.84304,0.95971,0.9409,0.96815,0.69254,1.01013,0.42926,0.88609,7.08784e-05,7.08784e-05,7.08784e-05
98,4718.15,0.80158,0.37574,0.84614,0.95169,0.94164,0.96711,0.69382,1.00035,0.42303,0.8849,5.67313e-05,5.67313e-05,5.67313e-05
99,4767.38,0.79316,0.36683,0.83751,0.95378,0.94478,0.96732,0.69318,1.00504,0.42236,0.88672,4.25842e-05,4.25842e-05,4.25842e-05
100,4815.23,0.7920,0.371551,0.84105,0.95256,0.94436,0.96795,0.69527,0.99767,0.41934,0.88425,2.84371e-05,2.84371e-05,2.84371e-05
